VIX Participant;AS Number;NOC Mailbox;Peering Contact;Website;AS Set;Ports at UniVie;Ports at Interxion;IPv4 Route Server;IPv4 Open Peering Policy;IPv6 Route Server;IPv6 Open Peering Policy
Iskon Internet d.d.;13046;noc@iskon.hr;peering@iskon.hr;http://www.iskon.hr;;;;enabled;no;enabled;no;
ITandTEL;21013;noc@itandtel.at;peering@itandtel.at;http://www.itandtel.at/;AS-ITANDTEL;;;enabled;yes;enabled;yes;
IT-Services der Sozialversicherung GmbH;16099;intranet.admin@sozvers.at;intranet.admin@sozvers.at;http://www.ITSV.at;AS16099;;;enabled;no;disabled;no;
JM-Data Telekom GmbH;25447;support@jm-data.at;support@jm-data.at;http://www.jm-data.at;;;;enabled;yes;disabled;yes;
kabelplus GmbH;8339;noc@kabelplus.at;peering@kabelplus.at;http://www.kabelplus.at;AS-KABS;;;enabled;yes;enabled;yes;
Kabel-TV Lampert GmbH & Co KG;59890;noc@lampert.at;noc@lampert.at;http://www.lampert.at;AS-LAMPERT;;1;enabled;yes;enabled;yes;
Kantonsschule Zug;34288;noc@as34288.net;peering@as34288.net;http://as34288.net/;AS34288:AS-IX:AS-VIX;;;enabled;yes;enabled;yes;
KAPPER NETWORK-COMMUNICATIONS GmbH;48943;ncc@kapper.net;peering@kapper.net;http://kapper.net/;AS-KAPPERNET;;;enabled;yes;enabled;yes;
KAV;16314;internet.admin@wienkav.at;internet.admin@wienkav.at;http://www.kav.at;;;;enabled;yes;disabled;no;
KPN Eurorings;286;noc-international@kpn.com;peering@kpn-international.com;http://www.kpn-international.com;AS-KPN;;;enabled;yes;enabled;yes;
KraftCom;12453;peering@kraftcom.at;peering@kraftcom.at;http://www.kraftcom.at;AS-KRAFTCOM;;;enabled;yes;enabled;yes;
KT-Net Communications GmbH;39560;support@kt-net.at;peering@kt-net.at;http://www.kt-net.at;AS-KT-NET;;;enabled;yes;enabled;yes;
lagis ISP GmbH;35369;noc@lagis.at;peering@lagis.at;http://www.linzag-telekom.at/;AS-LAGIS;;;enabled;yes;enabled;yes;
LeaseWeb Network B.V.;16265;noc@fiberring.com;peering@leaseweb.com;http://www.fiberring.com;;;;enabled;yes;enabled;yes;
Ledl.net GmbH;25575;hostmaster@domaintechnik.at;peering@domaintechnik.at;http://www.domaintechnik.at;;;;enabled;yes;enabled;yes;
Liberty Global Services B.V.;6830;IP-NOCUPCTechnology@lgi.com;peering@aorta.net;http://www.lgi.com/europe.html;;;;disabled;no;disabled;no;
Limelight Networks;22822;peering-noc@llnw.com;peering-team@llnw.com;http://www.limelight.com/;AS-LLNW;;;disabled;no;disabled;no;
LinzNet Internet Service Provider GmbH;28889;noc@linznet.at;peering@linznet.at;http://www.linznet.at/;;;;enabled;yes;disabled;no;
Liwest;12605;noc@liwest.at;a.seitz@liwest.at;http://www.liwest.at/;;;;enabled;yes;enabled;yes;
LWLcom;50629;noc@lwlcom.com;peering@lwlcom.com;http://www.lwlcom.com;;;;enabled;yes;enabled;yes;
M247 Ltd;9009;nmc@m247.com;peering@m247.com;http://www.m247.com;;;;enabled;yes;enabled;yes;
MAGWien;6720;hostmaster@wien.gv.at;hostmaster@wien.gv.at;http://service.magwien.gv.at;;;;enabled;yes;enabled;yes;
MakeNewMedia Communications GmbH;44765;noc@makenewmedia.com;peering@makenewmedia.com;http://www.makenewmedia.com;;;;enabled;yes;disabled;no;
Mass Response Service GmbH;51265;noc@massresponse.com;noc@massresponse.com;http://www.massresponse.com;AS51265;;;enabled;yes;enabled;yes;
mediainvent Service GmbH;51184;noc@mediainvent.com;peering@mediainvent.com;http://www.mediainvent.com;AS-MEDIAINVENT;;;enabled;yes;enabled;yes;
Microsoft Corporation;8075;ioc@microsoft.com;peering@microsoft.com;http://www.msn.com;AS-MICROSOFT;;;enabled;yes;enabled;yes;
mmc.at;12577;noc@mmc.at;;http://www.mmc.at;;;;enabled;yes;disabled;yes;
myNET GmbH;31543;noc@as31543.net;peering@as31543.net;http://www.as31543.net;;;;enabled;yes;enabled;yes;
Neotel;34772;noc@neotel.com.mk;support@neotel.com.mk;http://www.neotel.com.mk;;;;enabled;yes;enabled;yes;
Nessus GmbH;47692;noc@nessus.at;peering@nessus.at;http://www.nessus.at;AS-NESSUS;;;enabled;yes;enabled;yes;
Net4You;6798;technik@net4you.net;technik@net4you.net;http://www.net4you.net/;;;;disabled;no;disabled;no;
netcup GmbH;197540;noc@netcup.de;;http://www.netcup.de;;;;enabled;yes;enabled;yes;
Netflix Streaming Services International B.V.;2906;cdn-noc@netflix.com;peering@netflix.com;http://www.netflix.com;AS-NFLX;;;enabled;yes;enabled;yes;
NetIX Communications Ltd.;57463;noc@netix.net;peering@netix.net;http://www.netix.net;AS-NETIX-INT;;;enabled;yes;disabled;no;
NETPLANET GmbH (Carrier 66);24953;noc@netplanet.at;peering@netplanet.at ;http://www.netplanet.at;AS-CARRIER66;;;enabled;yes;enabled;yes;
next layer;1764;noc@nextlayer.at;peering@nextlayer.at;http://www.nextlayer.at;;;;enabled;no;enabled;no;
NIC.at;30971;noc@nic.at;;http://www.nic.at;;;;enabled;no;enabled;no;
Oath EMEA Limited;10310;infra-atom@yahoo-inc.com;peering-requests@yahoo-inc.com;http://www.yahoo.com;;;;enabled;yes;enabled;yes;
OEBB Infrastruktur AG;25011;noc@oebb.at;peering@oebb.at;https://www.oebb.at;AS25011;;;enabled;yes;disabled;no;
Omonia;44306;noc@omonia.hr;peering@omonia.hr;http://www.omonia.hr;AS44306;;1;enabled;yes;enabled;yes;
Onstage;15702;noc@onstage.at;peering@onstage.at;http://www.onstage.at;;;;enabled;yes;enabled;yes;
Optima Telekom d.d.;34594;noc@optima-telekom.hr;peering@optima-telekom.hr;http://www.optima.hr;AS34594;;;disabled;yes;disabled;yes;
OVH SAS;16276;network@ml.ovh.net;trading.network@ml.ovh.net;http://www.ovh.com;AS-OVH;;;disabled;no;disabled;no;
P3 Communications GmbH;201214;noc@internex.at;noc@internex.at;http://www.p3-group.com;;;;disabled;no;disabled;no;
Packet Clearing House;42;noc@pch.net;peering@pch.net;http://www.pch.net;AS-PCH;;;enabled;yes;enabled;yes;
PCH.net;3856;noc@pch.net;peering@pch.net;http://www.pch.net/;;;;enabled;yes;enabled;yes;
Peter Rauter GmbH;39878;support@rauter-it.at;support@rauter-it.at;http://www.rauter-it.at;;;;enabled;yes;enabled;yes;
PJSC VimpelCom;3216;ncc@beeline.ru;noc@beeline.ru;http://www.beeline.ru;AS-SOVAM;;;disabled;no;disabled;no;
PT. Telkom Indonesia International (TELIN);7713;noc@telin.co.id;peering@telin.co.id;http://www.telin.co.id;;;;enabled;yes;enabled;no;
Raiffeisen Informatik GmbH;24864;noc@r-it.at;peering@r-it.at;http://www.r-it.at;AS-R-IT, AS-R-IT-V6;;;enabled;yes;enabled;yes;
Raiffeisen Rechenzentrum GmbH;48339;hostmaster@rrz.co.at;hostmaster@rrz.co.at;http://www.rrz.co.at;AS-RRZS;;;enabled;no;enabled;yes;
RETN Limited;9002;noc@retn.net;peering@retn.net;http://www.retn.net;AS-RETN;;;disabled;yes;enabled;yes;
Riot Games Ltd;6507;noc@riotgames.com;peering@riotgames.com;http://www.riotgames.com;RIOT-NA1;;;disabled;no;disabled;no;
RIPE NCC;25152;dns@ripe.net;dns@ripe.net;http://www.ripe.net;;;;enabled;yes;enabled;yes;
RIS/RIPE.net;12654;ris@ripe.net;<a href="http://www.ripe.net/projects/ris/docs/peering.html">RRC05 Peering Details</a>;http://www.ripe.net/ris;;;;disabled;no;disabled;no;
Salzburg-AG/CableLink;8445;noc@cablelink.at;noc@cablelink.at;http://www.cablelink.at/;;;;disabled;no;disabled;no;
Serbia Broadband - Srpske kablovske mreze d.o.o.;31042;intlnoc@sbb.rs;peering@sbb.rs;www.sbb.rs;AS-SBB;;1;enabled;yes;enabled;yes;
Serbian Open eXchange;13004;noc@sox.rs;noc@sox.rs;http://www.sox.rs;;;;enabled;yes;enabled;yes;
Service.ACO.net;1120;noc@aco.net;noc@aco.net;http://www.vix.at/vix-services.html;AS-ACOSERV;;;enabled;yes;enabled;yes;
sIT Solutions AT Spardat GmbH;12895;noc@ersteit.com;peering@ersteit.com;http://www.s-itsolutions.at;;1;1;enabled;no;disabled;no;
Softnet d.o.o.;9119;noc@softnet.si;peering@softnet.si;http://www.softnet.si;;;;enabled;yes;enabled;yes;
Stadtwerke Feldkirch;48362;telekommunikation@stadtwerke-feldkirch.at;telekommunikation@stadtwerke-feldkirch.at;www.stadtwerke-feldkirch.at;AS-TKSWF;;;enabled;yes;enabled;yes;
Stadtwerke Hall in Tirol GmbH/citynet@hall;34347;noc@cnh.at;peering@cnh.at;http://www.cnh.at;AS-CNHAT;;;enabled;yes;enabled;yes;
Stadtwerke Kapfenberg GmbH;41491;hostmaster@hiway.at;vixpeering@hiway.at;http://www.hiway.at;;;;enabled;yes;disabled;no;
Standard Verlagsgesellschaft m.b.H;44865;noc@derstandard.at;noc@derstandard.at;http://www.derstandard.at;;;;enabled;yes;enabled;yes;
Stelkom d.o.o.;43061;tk.help@stelkom.si;gasper.burjek@stelkom.si;www.stelkom.si;;;;enabled;yes;enabled;yes;
Sunrise Communications AG;6730;noc@sunrise.net;peering@sunrise.net;http://www.sunrise.net;;;;disabled;no;disabled;no;
Swisscom (Schweiz) AG;3303;noc@ip-plus.net;peering@ip-plus.net;http://www.swisscom.ch;;;;enabled;no;enabled;no;
T-2 d.o.o.;34779;nadzor@t-2.net;peering@t-2.com;http://www.t-2.com/;;;;enabled;yes;enabled;yes;
TELE2 Sverige AB;1257;dnoc@tele2.net;peering@tele2.net;http://www.tele2.com/;;;;disabled;no;disabled;no;
Telekom Srbija a.d.;8400;noc.ip@telekom.rs;peering@telekom.rs;www.telekom.rs;AS-TELEKOM;;;enabled;yes;enabled;yes;
TELEMACH UG d.o.o;3212;noc@triera.net;ip.ing@telemach.si;http://www.telemach.si/;;;;enabled;yes;enabled;yes;
T-Mobile Austria GmbH;8412;noc@t-mobile.at;;http://www.t-mobile.at;;;;enabled;no;enabled;yes;
Trusted Network GmbH;21385;noc@tnib.de;peering@tnib.net ;http://www.tnib.de;;;;enabled;yes;enabled;yes;
T-Systems;8387;noc@t-systems.at;noc@t-systems.at;http://www.t-systems.at/;;;;enabled;yes;enabled;yes;
Türk Telekom International HU Kft;6663;noc@turktelekomint.com;noc@turktelekomint.com;http://www.turktelekomint.com;AS-PANTEL;;;enabled;yes;enabled;yes;
Twitch Interactive;46489;noc@twitch.tv;peering@twitch.tv;http://www.twitch.tv;;;;disabled;no;disabled;no;
Valve Corporation;32590;noc@valvesoftware.com;peering@valvesoftware.com;http://www.valvesoftware.com;AS-VALVE;;;enabled;yes;enabled;yes;
VerizonBusiness (MCI);702;ip-noc@verizon.com;emea-peering@verizonbusiness.com;http://www.verizonbusiness.com;;;;disabled;no;disabled;no;
Video-Broadcast GmbH;8245;noc@video-broadcast.at;peering@video-broadcast.at;http://www.video-broadcast.at/;;;;enabled;yes;enabled;yes;
Vodafone D2 GmbH;3209;noc@adm.arcor.net;peering@adm.arcor.net;http://www.arcor.net;;;;disabled;no;disabled;no;
Voxility SRL;3223;noc@voxility.com;noc@voxility.com;http://www.voxility.com;Voxility;;;enabled;yes;disabled;no;
Wien Energie GmbH;29287;tk-noc@wienenergie.at;peering@blizznet.at;http://www.wienstrom.at;;;;enabled;no;enabled;no;
WNT Telecommunication GmbH;43957;inoc@wnt-telecom.net;peering@wnt-telecom.net;http://www.wnt-telecom.net;;;;enabled;yes;enabled;yes;
World4You Internet Services GmbH;38955;noc@world4you.com;peering@world4you.com;http://www.world4you.com;;;;enabled;no;enabled;no;
WVNET Information & Kommunikation GmbH;29081;noc@wvnet.eu;peering@wvnet.eu;http://www.wvnet.eu;;;;enabled;no;disabled;no;
Zayo France;8218;office@upstreamnet.at;cam@upstreamnet.at;http://www.upstreamnet.at;AS-NEOT;;;enabled;yes;enabled;yes;
